id,thesession.org_id,album_id,track_num,title,tune_num
7875,325,312,5,Sweet Biddy Daly,3
7876,472,312,6,The Hunter's House,1
7877,2530,312,6,Kiss Me Kate,2
7878,432,312,6,The Maid Of Mount Cisco,3
7879,10620,312,7,Caledonia,1
7880,-1,312,8,Terence MacDonough,1
7881,-1,312,9,Sean D,1
7882,576,312,9,Killavil Fancy,2
7883,8008,312,9,Buttermilk Mary,3
7884,-1,312,10,Fair Flower Of Northumberland,1
7885,-1,313,1,Humours Of Rockstown,1
7886,2083,313,1,Paddy Lynn's Delight,2
7887,-1,313,1,Ril Roscomain,3
7888,-1,313,2,Samhain Set: All Hallows Eve,1
7889,-1,313,2,The Seeker,2
7890,4195,313,3,Bear Dance,1
7891,1211,313,4,"Go To Berwick, Johnny",1
7892,9303,313,5,Farewell To Nigg,1
7893,-1,313,6,The Seas Are Deep,1
7894,-1,313,6,Dervish,2
7895,-1,313,7,The Flower Among Us All,1
7896,-1,313,7,Johnny Armstrong,2
7897,-1,313,8,Helen O'Grady,1
7898,388,313,8,Drops Of Brandy,2
7899,-1,313,9,The Banks Of The Barrow,1
7900,-1,313,10,A Traveler's Dream,1
7901,4070,313,11,The Green Fields Of Woodford,1
7902,-1,313,11,Summertime,2
7903,8452,313,11,A Morning In Summer,3
7904,-1,313,12,South Uist,1
7905,-1,313,12,Cape Breton Wedding,2
7906,6375,313,12,Scottish,3
7907,-1,314,1,Breton Dance,1
7908,197,314,1,The Star Of Munster,2
7909,-1,314,2,M�irin De Barra Aire,1
7910,729,314,3,Siobhan O'Donnell's,1
7911,145,314,3,Handsome Young Maidens,2
7912,-1,314,4,Style Musette,1
7913,-1,314,5,Hong Herald,1
7914,696,314,6,Bear Island,1
7915,177,314,6,S�an Sa Cheo,2
7916,-1,314,6,Hong Herald,3
7917,1888,314,7,Behind The Bush In The Garden,1
7918,-1,314,7,Sergeant Early,2
7919,59,314,7,Lady Anne Montgomery,3
7920,-1,314,8,Colonne La Gavre,1
7921,-1,314,8,Saboti,2
7922,-1,314,8,La Marchande,3
7923,-1,314,9,Valse Petit D�jeuner,1
7924,-1,314,10,Wel Island,1
7925,-1,314,10,Chimes Of Dunkirk,2
7926,-1,314,10,Air,3
7927,-1,314,11,Paspie Menuet,1
7928,-1,314,11,Mr. Waller -Turlough O'Carolan,2
7929,-1,314,12,Gathering At Waterloo,1
7930,-1,314,12,Will You Go To Flanders,2
7931,8251,314,13,Wellington,1
7932,-1,314,14,Victor,1
7933,11079,314,15,Waterloo,1
7934,-1,314,16,Bonaparte,1
7935,-1,314,17,The Battle,1
7936,2372,314,17,The Retreat,2
7937,-1,314,18,Lamentation For The Fallen Heroes Of Waterloo,1
7938,-1,314,19,The 78th's Farewell To Belgium,1
7939,-1,315,1,The Black Diamond,1
7940,-1,315,1,The Seven-Pointed Star,2
7941,-1,315,2,Feunteun An Aod,1
7942,1130,315,3,The Rakes Of Clonmel,1
7943,833,315,3,The Trip To The Cottage,2
7944,2186,315,4,Sir Charles Coote,1
7945,-1,315,4,Captain Higgins,2
7946,-1,315,5,Stefan And Liz's,1
7947,-1,315,6,Between Earth And Sky,1
7948,-1,315,7,Oregon Ridge,1
7949,-1,315,7,Brew House,2
7950,-1,315,8,Rigler's March,1
7951,-1,315,8,Rex's Rambles,2
7952,132,315,9,Soldier's Return,1
7953,-1,315,10,Jack 0'Diamonds,1
7954,70,315,10,Merrily Kiss The Quaker,2
7955,-1,315,11,Johnny Don't Get Drunk,1
7956,471,315,11,Miss Monaghan,2
7957,11675,315,12,Carolan's Quarrel With The Landlady,1
7958,-1,315,13,Free Flight,1
7959,-1,315,14,Tiger Baby's Lullaby,1
7960,370,316,1,Jenny's Welcome To Charlie,1
7961,858,316,2,The Wounded Hussar,1
7962,1964,316,3,Pat Ward's,1
7963,6524,316,4,The Trip We Took Over The Mountain,1
7964,-1,316,5,Bean Dubh An Ghleanna,1
7965,2,316,6,The Bucks Of Oranmore,1
7966,-1,316,7,Anonn's Anall,1
7967,76,316,8,My Darling Asleep,1
7968,1447,316,8,Whelan's,2
7969,7327,316,9,The Castle Of Dromore,1
7970,891,316,10,The Trip To Durrow,1
7971,2623,316,11,Bumper Squire Jones,1
7972,159,316,12,Denis Murphy's,1
7973,4123,316,13,An Buachaill Caol Dubh,1
7974,94,316,14,The Scholar,1
7975,2608,316,15,Top It Off,1
7976,99,316,16,The Salamanca,1
7977,6623,316,17,The Dear Irish Boy,1
7978,3456,316,18,Bimis Ag Ol,1
7979,-1,316,19,Loch Na GCaor,1
7980,2050,316,20,The Lady's Pantalettes,1
7981,4161,316,21,Kitty Got A Clinking Coming From The Fair,1
7982,658,317,1,The Stone In The Field,1
7983,2837,317,1,The West Wind,2
7984,824,317,2,The Day I Met Tom Moylan,1
7985,543,317,2,Ships A-Sailing,2
7986,2125,317,3,Paddy Kelly's,1
7987,1657,317,3,Mullingar Lea,2
7988,150,317,4,Paddy Fahy's,1
7989,1447,317,4,Whelan's,2
7990,8453,317,5,Richard Dwyer's,1
7991,2125,317,5,Paddy Kelly's,2
7992,1619,317,6,Tit For Tat,1
7993,160,317,6,Tommy Whelan's,2
7994,840,317,7,The Chicago,1
7995,41,317,7,The Green Groves Of Erin,2
7996,821,317,8,Cornelius Curtin's Big Balloon,1
7997,772,317,8,Queen Of The Fair,2
7998,118,317,9,The Wise Maid,1
7999,1347,317,9,Jenny's Wedding,2
8000,132,317,10,Eileen Curran,1
8001,229,317,10,Dowd's,2
8002,1339,317,11,The Reel Of Mullinavat,1
8003,71,317,11,Morrison's,2
8004,595,317,12,The Dogs Among The Bushes,1
8005,3438,317,12,The Ewe,2
8006,594,317,13,The Jug Of Punch,1
8007,1272,317,13,The Cottage Groves,2
8008,1359,317,14,Old Hag You Have Killed Me,1
8009,992,317,14,Fraher's,2
8010,635,318,1,Gie Us A Drink Of Water,1
8011,4229,318,1,John MacDonald's Exercise,2
8012,-1,318,1,The Deaf Shepherd,3
8013,-1,318,1,The Smith Of Raasay,4
8014,-1,318,1,The Aberarder Rant,5
8015,-1,318,2,The Glen House,1
8016,-1,318,2,Mrs. Jean Campbell,2
8017,11362,318,3,Gin Ye Kiss Ma Wife I'll Go An' Tell The Minister,1
8018,-1,318,3,Seamus Gibson's,2
8019,182,318,3,The Silver Spear,3
8020,96,318,3,Scotch Mary,4
8021,-1,318,4,Logan Brae,1
8022,3429,318,5,Ross Battery,1
8023,-1,318,5,Johann McTartan,2
8024,6887,318,5,Lochiel's Awa Tae France,3
8025,442,318,5,Flowers Of Redhill,4
8026,-1,318,6,Finbarr Saunders,1
8027,1756,318,6,Chloe's Passion,2
8028,-1,318,6,Dhamhsadh Coinnach Ri Inghinn,3
8029,628,318,6,Michael McGoldrick's,4
8030,806,318,7,Flagstone Of Memories,1
8031,-1,318,7,The Pawn Of Madness,2
8032,577,318,7,"Ah, Surely",3
8033,9094,318,8,Peggy Gordon,1
8034,-1,318,9,Gav On Crutches,1
8035,511,318,9,The Foxhunter,2
8036,-1,318,9,Gav On Crutches,3
8037,-1,318,9,The Poison Dwarf,4
8038,-1,318,9,Roddy Campbell's Favourite,5
8039,-1,318,10,Lost For Words At Sea,1
8040,-1,318,11,Out In The Night,1
8041,5757,318,11,Tom McElvogue's,2
8042,2908,318,11,An Dro,3
8043,1559,319,1,Spancil Hill,1
8044,2516,319,2,Foggy Dew,1
8045,1330,319,3,The Halting March,1
8046,3354,319,3,Knocknagow,2
8047,-1,319,4,The Wounded Hussar (Captain O'Kane),1
8048,3659,319,4,Down The Brae,2
8049,733,319,5,Killarney Boys Of Pleasure,1
8050,391,319,5,The Bag Of Spuds,2
8051,132,319,5,Eileen Curran,3
8052,6961,319,6,Galician,1
8053,-1,319,7,MacKinnon Brook,1
8054,1888,319,7,MacDonald,2
8055,429,319,8,The Black Mare Of Fanad,1
8056,3,319,8,Boil The Breakfast Early,2
8057,470,319,9,The Mist Covered Mountains Of Home,1
8058,-1,319,10,Jezebel Carol,1
8059,8225,319,10,Avenging And Bright,2
8060,98,319,11,Down By The Sally Gardens,1
8061,2254,319,12,Maid At The Spinning Wheel,1
